material_input,llm_provider,llm_model,success,error_message,llm_formula,llm_space_group,llm_lattice_params,llm_atomic_positions,mp_formula,mp_space_group,mp_lattice_params,mp_atomic_positions,processing_time,api_failure,score
Lithium manganese oxide,google,gemini-2.5-pro,False,LLM failed to identify material,,,,,,,,,56.81875991821289,False,0.0
Lithium titanate,google,gemini-2.5-pro,True,,Li2TiO3,C2/c,"{'a': 5.0621, 'b': 8.7893, 'c': 9.7283, 'alpha': 90.0, 'beta': 100.11, 'gamma': 90.0}","[{'element': 'Li', 'position': [0.5, 0.5, 0.5]}, {'element': 'Li', 'position': [0.0, 0.5, 0.75]}, {'element': 'Li', 'position': [0.5, 0.0, 0.75]}, {'element': 'Li', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.0, 0.5, 0.25]}, {'element': 'Ti', 'position': [0.5, 0.0, 0.25]}, {'element': 'O', 'position': [0.72018, 0.77982, 0.00685]}, {'element': 'O', 'position': [0.27982, 0.22018, 0.99315]}, {'element': 'O', 'position': [0.22018, 0.72018, 0.50685]}, {'element': 'O', 'position': [0.77982, 0.27982, 0.49315]}, {'element': 'O', 'position': [0.0, 0.0, 0.5]}, {'element': 'O', 'position': [0.5, 0.5, 0.0]}]",Li4Ti5O12,C2/c,"{'a': 5.896050654695832, 'b': 5.8960476478437185, 'c': 13.168679975477342, 'alpha': 77.39989474899228, 'beta': 77.39982286379106, 'gamma': 89.8097446805584}","[{'element': 'Li', 'position': [0.30227135, 0.03741018, 0.91643848]}, {'element': 'Li', 'position': [0.62899901, 0.37099977, 0.24999999]}, {'element': 'Li', 'position': [0.0374117, 0.30227095, 0.41643846]}, {'element': 'Li', 'position': [0.96259055, 0.69772811, 0.58356144]}, {'element': 'Li', 'position': [0.49999987, 1.899999999999999e-07, 0.49999999]}, {'element': 'Li', 'position': [0.37100075, 0.62900042, 0.74999983]}, {'element': 'Li', 'position': [0.69772809, 0.96258953, 0.08356218]}, {'element': 'Li', 'position': [0.9999998, 0.50000007, 2.5e-07]}, {'element': 'Ti', 'position': [0.15731286, 0.66578079, 0.16221423000000001]}, {'element': 'Ti', 'position': [0.17060819, 0.16167829, 0.65706017]}, {'element': 'Ti', 'position': [0.50000012, 0.50000159, 6.8e-07]}, {'element': 'Ti', 'position': [0.66578324, 0.1573123, 0.66221199]}, {'element': 'Ti', 'position': [0.83832691, 0.82938981, 0.84293857]}, {'element': 'Ti', 'position': [0.84268447, 0.33421565000000003, 0.837787899999999]}, {'element': 'Ti', 'position': [0.82939125, 0.83832675, 0.34293909]}, {'element': 'Ti', 'position': [0.1616746, 0.17060721, 0.15706058]}, {'element': 'Ti', 'position': [0.33421658, 0.84268716, 0.33778782]}, {'element': 'Ti', 'position': [0.50000257, 0.49999985, 0.49999917]}, {'element': 'O', 'position': [0.08877167, 0.61867534, 0.323204799999999]}, {'element': 'O', 'position': [0.26091693, 0.25881634, 0.51069495]}, {'element': 'O', 'position': [0.4135002, 0.95145995, 0.66860106]}, {'element': 'O', 'position': [0.58220608, 0.60199499, 0.34173236]}, {'element': 'O', 'position': [0.72420365, 0.25834636, 0.5126897300000001]}, {'element': 'O', 'position': [0.6186734700000001, 0.08876935, 0.82320362]}, {'element': 'O', 'position': [0.60199201, 0.58220338, 0.84173409]}, {'element': 'O', 'position': [0.74165296, 0.27579578, 0.98730931]}, {'element': 'O', 'position': [0.74118462, 0.73908308, 0.98930458]}, {'element': 'O', 'position': [0.91411548, 0.93854467, 0.67206473]}, {'element': 'O', 'position': [0.04853999, 0.58649811, 0.8313986800000001]}, {'element': 'O', 'position': [0.06145554, 0.0858845, 0.82793516]}, {'element': 'O', 'position': [0.95146034, 0.41350008, 0.16860212]}, {'element': 'O', 'position': [0.93854441, 0.91411475, 0.17206522]}, {'element': 'O', 'position': [0.08588496, 0.0614561, 0.32793508]}, {'element': 'O', 'position': [0.25834645, 0.72420284, 0.01269207]}, {'element': 'O', 'position': [0.25881577, 0.2609178, 0.010695099999999002]}, {'element': 'O', 'position': [0.38132528, 0.91122898, 0.17679541000000001]}, {'element': 'O', 'position': [0.39800534, 0.41779416, 0.15826731]}, {'element': 'O', 'position': [0.27579724, 0.7416542500000001, 0.48730839000000004]}, {'element': 'O', 'position': [0.58649876, 0.04854107, 0.33139839]}, {'element': 'O', 'position': [0.41779681, 0.39800788000000004, 0.65826583]}, {'element': 'O', 'position': [0.7390829, 0.74118512, 0.48930464]}, {'element': 'O', 'position': [0.91122925, 0.38132548, 0.67679556]}]",41.57812690734863,False,0.25
Potassium chloride,google,gemini-2.5-pro,True,,KCl,Fm-3m,"{'a': 6.482, 'b': 6.482, 'c': 6.482, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'K', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",KCl,Fm-3m,"{'a': 4.4432770640082975, 'b': 4.4432770147909, 'c': 4.44327718, 'alpha': 59.99999877003548, 'beta': 59.999999136453894, 'gamma': 59.999994716588446}","[{'element': 'K', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",25.87587022781372,False,1.0
GST,google,gemini-2.5-pro,True,,Ge2Sb2Te5,P-3m1,"{'a': 4.22, 'b': 4.22, 'c': 17.26, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Te', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.666667, 0.333333, 0.166667]}, {'element': 'Te', 'position': [0.333333, 0.666667, 0.388889]}, {'element': 'Te', 'position': [0.666667, 0.333333, 0.611111]}, {'element': 'Te', 'position': [0.333333, 0.666667, 0.833333]}, {'element': 'Sb', 'position': [0.333333, 0.666667, 0.111111]}, {'element': 'Sb', 'position': [0.666667, 0.333333, 0.888889]}, {'element': 'Ge', 'position': [0.666667, 0.333333, 0.333333]}, {'element': 'Ge', 'position': [0.333333, 0.666667, 0.666667]}]",Ge2Sb2Te5,P-3m1,"{'a': 4.29406442480606, 'b': 4.29406442480606, 'c': 17.101346, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00000654506766}","[{'element': 'Ge', 'position': [0.333333, 0.666667, 0.897104999999999]}, {'element': 'Ge', 'position': [0.666667, 0.333333, 0.102895]}, {'element': 'Sb', 'position': [0.0, 0.0, 0.679932]}, {'element': 'Sb', 'position': [0.0, 0.0, 0.320067999999999]}, {'element': 'Te', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.666667, 0.333333, 0.798458]}, {'element': 'Te', 'position': [0.333333, 0.666667, 0.201542]}, {'element': 'Te', 'position': [0.333333, 0.666667, 0.580108]}, {'element': 'Te', 'position': [0.666667, 0.333333, 0.419892]}]",31.68085503578186,False,0.856
Antimony trisulfide,google,gemini-2.5-pro,True,,Sb2S3,Pnma,"{'a': 11.333, 'b': 3.846, 'c': 11.432, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Sb', 'position': [0.34804, 0.25, 0.03822]}, {'element': 'Sb', 'position': [0.65196, 0.75, 0.96178]}, {'element': 'Sb', 'position': [0.15196, 0.75, 0.53822]}, {'element': 'Sb', 'position': [0.84804, 0.25, 0.46178]}, {'element': 'Sb', 'position': [0.01901, 0.25, 0.83113]}, {'element': 'Sb', 'position': [0.98099, 0.75, 0.16887]}, {'element': 'Sb', 'position': [0.48099, 0.75, 0.33113]}, {'element': 'Sb', 'position': [0.51901, 0.25, 0.66887]}, {'element': 'S', 'position': [0.18931, 0.25, 0.12921]}, {'element': 'S', 'position': [0.81069, 0.75, 0.87079]}, {'element': 'S', 'position': [0.31069, 0.75, 0.62921]}, {'element': 'S', 'position': [0.68931, 0.25, 0.37079]}, {'element': 'S', 'position': [0.85201, 0.25, 0.05731]}, {'element': 'S', 'position': [0.14799, 0.75, 0.94269]}, {'element': 'S', 'position': [0.64799, 0.75, 0.55731]}, {'element': 'S', 'position': [0.35201, 0.25, 0.44269]}, {'element': 'S', 'position': [0.50111, 0.25, 0.84913]}, {'element': 'S', 'position': [0.49889, 0.75, 0.15087]}, {'element': 'S', 'position': [0.99889, 0.75, 0.34913]}, {'element': 'S', 'position': [0.00111, 0.25, 0.65087]}]",Sb2S3,Pnma,"{'a': 3.8447329100000003, 'b': 11.36714114, 'c': 11.80011845, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Sb', 'position': [0.75, 0.46558362000000003, 0.8573504]}, {'element': 'Sb', 'position': [0.25, 0.53441638, 0.1426496]}, {'element': 'Sb', 'position': [0.25, 0.96558362, 0.642649599999999]}, {'element': 'Sb', 'position': [0.75, 0.03441638, 0.357350399999999]}, {'element': 'Sb', 'position': [0.25, 0.17308267, 0.9669435999999991]}, {'element': 'Sb', 'position': [0.75, 0.82691733, 0.0330564]}, {'element': 'Sb', 'position': [0.75, 0.67308267, 0.5330564]}, {'element': 'Sb', 'position': [0.25, 0.32691733, 0.466943599999999]}, {'element': 'S', 'position': [0.75, 0.06146949, 0.87592716]}, {'element': 'S', 'position': [0.25, 0.93853051, 0.12407284]}, {'element': 'S', 'position': [0.25, 0.56146949, 0.62407284]}, {'element': 'S', 'position': [0.75, 0.43853051, 0.37592716]}, {'element': 'S', 'position': [0.75, 0.37923204, 0.04854145]}, {'element': 'S', 'position': [0.25, 0.62076796, 0.95145855]}, {'element': 'S', 'position': [0.25, 0.87923204, 0.45145855]}, {'element': 'S', 'position': [0.75, 0.12076796000000001, 0.54854145]}, {'element': 'S', 'position': [0.25, 0.18854761, 0.30024927]}, {'element': 'S', 'position': [0.75, 0.81145239, 0.69975073]}, {'element': 'S', 'position': [0.75, 0.68854761, 0.19975073000000002]}, {'element': 'S', 'position': [0.25, 0.31145239, 0.80024927]}]",51.91534376144409,False,0.8898
Antimony triselenide,google,gemini-2.5-pro,True,,Sb2Se3,Pnma,"{'a': 11.790365, 'b': 3.980108, 'c': 11.640166, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Sb', 'position': [0.835158, 0.25, 0.829108]}, {'element': 'Sb', 'position': [0.664842, 0.75, 0.329108]}, {'element': 'Sb', 'position': [0.164842, 0.75, 0.170892]}, {'element': 'Sb', 'position': [0.335158, 0.25, 0.670892]}, {'element': 'Sb', 'position': [0.488438, 0.25, 0.68114]}, {'element': 'Sb', 'position': [0.011562, 0.75, 0.18114]}, {'element': 'Sb', 'position': [0.511562, 0.75, 0.31886]}, {'element': 'Sb', 'position': [0.988438, 0.25, 0.81886]}, {'element': 'Se', 'position': [0.350311, 0.25, 0.057042]}, {'element': 'Se', 'position': [0.149689, 0.75, 0.557042]}, {'element': 'Se', 'position': [0.649689, 0.75, 0.942958]}, {'element': 'Se', 'position': [0.850311, 0.25, 0.442958]}, {'element': 'Se', 'position': [0.05739, 0.25, 0.618141]}, {'element': 'Se', 'position': [0.44261, 0.75, 0.118141]}, {'element': 'Se', 'position': [0.94261, 0.75, 0.381859]}, {'element': 'Se', 'position': [0.55739, 0.25, 0.881859]}, {'element': 'Se', 'position': [0.706178, 0.25, 0.511394]}, {'element': 'Se', 'position': [0.793822, 0.75, 0.011394]}, {'element': 'Se', 'position': [0.293822, 0.75, 0.488606]}, {'element': 'Se', 'position': [0.206178, 0.25, 0.988606]}]",Sb2Se3,Pnma,"{'a': 4.00155687, 'b': 11.71362971, 'c': 12.3620732, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Sb', 'position': [0.75, 0.0380946, 0.14032237]}, {'element': 'Sb', 'position': [0.25, 0.961905399999999, 0.85967763]}, {'element': 'Sb', 'position': [0.25, 0.5380946, 0.35967763]}, {'element': 'Sb', 'position': [0.75, 0.461905399999999, 0.64032237]}, {'element': 'Sb', 'position': [0.25, 0.32959138, 0.033812840000000004]}, {'element': 'Sb', 'position': [0.75, 0.67040862, 0.96618716]}, {'element': 'Sb', 'position': [0.75, 0.82959138, 0.46618716]}, {'element': 'Sb', 'position': [0.25, 0.17040862, 0.5338128400000001]}, {'element': 'Se', 'position': [0.75, 0.12752536, 0.9483452]}, {'element': 'Se', 'position': [0.25, 0.87247464, 0.0516548]}, {'element': 'Se', 'position': [0.25, 0.62752536, 0.5516548]}, {'element': 'Se', 'position': [0.75, 0.37247464, 0.4483452]}, {'element': 'Se', 'position': [0.25, 0.19210067, 0.20533132]}, {'element': 'Se', 'position': [0.75, 0.80789933, 0.79466868]}, {'element': 'Se', 'position': [0.75, 0.69210067, 0.29466868]}, {'element': 'Se', 'position': [0.25, 0.30789933, 0.70533132]}, {'element': 'Se', 'position': [0.75, 0.05409869, 0.62734915]}, {'element': 'Se', 'position': [0.25, 0.94590131, 0.37265085000000003]}, {'element': 'Se', 'position': [0.25, 0.55409869, 0.87265085]}, {'element': 'Se', 'position': [0.75, 0.44590131, 0.12734915]}]",48.19969940185547,False,0.8422
Yttrium barium copper oxide,google,gemini-2.5-pro,True,,YBa2Cu3O7,Pmmm,"{'a': 3.822, 'b': 3.888, 'c': 11.691, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ba', 'position': [0.5, 0.5, 0.1843]}, {'element': 'Ba', 'position': [0.5, 0.5, 0.8157]}, {'element': 'Y', 'position': [0.5, 0.5, 0.5]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.3554]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.6446]}, {'element': 'O', 'position': [0.0, 0.5, 0.0]}, {'element': 'O', 'position': [0.0, 0.0, 0.1583]}, {'element': 'O', 'position': [0.0, 0.0, 0.8417]}, {'element': 'O', 'position': [0.5, 0.0, 0.3778]}, {'element': 'O', 'position': [0.5, 0.0, 0.6222]}, {'element': 'O', 'position': [0.0, 0.5, 0.3792]}, {'element': 'O', 'position': [0.0, 0.5, 0.6208]}]",Ba2YCu3O7,Pmmm,"{'a': 3.844668, 'b': 3.926152, 'c': 11.823664, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ba', 'position': [0.5, 0.5, 0.819391]}, {'element': 'Ba', 'position': [0.5, 0.5, 0.180609]}, {'element': 'Y', 'position': [0.5, 0.5, 0.5]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.646678]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.353321999999999]}, {'element': 'Cu', 'position': [0.0, 0.0, 0.0]}, {'element': 'O', 'position': [0.0, 0.5, 0.0]}, {'element': 'O', 'position': [0.5, 0.0, 0.620653]}, {'element': 'O', 'position': [0.5, 0.0, 0.379347]}, {'element': 'O', 'position': [0.0, 0.5, 0.621651]}, {'element': 'O', 'position': [0.0, 0.5, 0.378349]}, {'element': 'O', 'position': [0.0, 0.0, 0.84082]}, {'element': 'O', 'position': [0.0, 0.0, 0.15918000000000002]}]",27.79143524169922,False,0.25
Silicon,openai,gpt-5.4-mini,True,,Si,Fd-3m,"{'a': 5.431, 'b': 5.431, 'c': 5.431, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Si', 'position': [0.0, 0.0, 0.0]}, {'element': 'Si', 'position': [0.25, 0.25, 0.25]}]",Si,Fd-3m,"{'a': 3.8492784033699095, 'b': 3.8492794116013456, 'c': 3.849278, 'alpha': 60.00001213094421, 'beta': 60.00000346645984, 'gamma': 60.0000109754579}","[{'element': 'Si', 'position': [0.875, 0.875, 0.875]}, {'element': 'Si', 'position': [0.125, 0.125, 0.125]}]",2.5594263076782227,False,1.0
Diamond,openai,gpt-5.4-mini,True,,C,Fd-3m,"{'a': 3.567, 'b': 3.567, 'c': 3.567, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'C', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.25, 0.25, 0.25]}]",C,P6_3/mmc,"{'a': 2.467291, 'b': 2.4672915232061654, 'c': 7.8030729999999995, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0000063925213}","[{'element': 'C', 'position': [0.0, 0.0, 0.25]}, {'element': 'C', 'position': [0.0, 0.0, 0.75]}, {'element': 'C', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'C', 'position': [0.666667, 0.333333, 0.75]}]",2.524470329284668,False,0.5
Graphite,openai,gpt-5.4-mini,True,,C,P6_3/mmc,"{'a': 2.46, 'b': 2.46, 'c': 6.71, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'C', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.6666666667, 0.3333333333, 0.25]}]",C,P6_3/mmc,"{'a': 2.467291, 'b': 2.4672915232061654, 'c': 7.8030729999999995, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0000063925213}","[{'element': 'C', 'position': [0.0, 0.0, 0.25]}, {'element': 'C', 'position': [0.0, 0.0, 0.75]}, {'element': 'C', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'C', 'position': [0.666667, 0.333333, 0.75]}]",2.5389676094055176,False,0.8817
Aluminum,openai,gpt-5.4-mini,True,,Al,Fm-3m,"{'a': 4.05, 'b': 4.05, 'c': 4.05, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Al', 'position': [0.0, 0.0, 0.0]}]",Al,Fm-3m,"{'a': 2.8559542459167657, 'b': 2.855954291634759, 'c': 2.855955, 'alpha': 60.00000337792521, 'beta': 60.00000284838631, 'gamma': 60.00000242846307}","[{'element': 'Al', 'position': [0.0, 0.0, 0.0]}]",2.20557188987732,False,1.0
Copper,openai,gpt-5.4-mini,True,,Cu,Fm-3m,"{'a': 3.615, 'b': 3.615, 'c': 3.615, 'alpha': 90, 'beta': 90, 'gamma': 90}","[{'element': 'Cu', 'position': [0.0, 0.0, 0.0]}]",Cu,Fm-3m,"{'a': 2.5296252999953506, 'b': 2.5296258526342896, 'c': 2.52962495, 'alpha': 60.00001167291316, 'beta': 60.00000444609542, 'gamma': 60.000002640914175}","[{'element': 'Cu', 'position': [0.0, 0.0, 0.0]}]",2.173736333847046,False,1.0
Iron,openai,gpt-5.4-mini,True,,Fe,Im-3m,"{'a': 2.866, 'b': 2.866, 'c': 2.866, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Fe', 'position': [0.0, 0.0, 0.0]}]",Fe,Im-3m,"{'a': 2.48, 'b': 2.48, 'c': 2.48, 'alpha': 109.44, 'beta': 109.45, 'gamma': 109.47}","[{'element': 'Fe', 'position': [0.0, 0.0, 0.0]}]",2.447086334228516,False,1.0
Gold,openai,gpt-5.4-mini,True,,Au,Fm-3m,"{'a': 4.078, 'b': 4.078, 'c': 4.078, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Au', 'position': [0.0, 0.0, 0.0]}]",Au,Fm-3m,"{'a': 2.9495462029697044, 'b': 2.949546752142606, 'c': 2.949546, 'alpha': 60.000008435423545, 'beta': 60.000002276344645, 'gamma': 60.00000120154806}","[{'element': 'Au', 'position': [0.0, 0.0, 0.0]}]",2.0583066940307617,False,1.0
Silver,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'Ag', 'full': 'Ag'}",Fm-3m,"{'a': 4.09, 'b': 4.09, 'c': 4.09, 'alpha': 90, 'beta': 90, 'gamma': 90}","[{'element': 'Ag', 'position': [0.0, 0.0, 0.0]}]",Ag,Fm-3m,"{'a': 2.902218654456314, 'b': 2.902218260449534, 'c': 2.90221738, 'alpha': 60.000010035439125, 'beta': 60.00001452635982, 'gamma': 59.999991450966775}","[{'element': 'Ag', 'position': [0.0, 0.0, 0.0]}]",1.9149799346923828,False,0.0
Titanium,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'Ti', 'full': 'Ti'}",P6_3/mmc,"{'a': 2.95, 'b': 2.95, 'c': 4.68, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Ti', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.6666666667, 0.3333333333, 0.25]}]",Ti,P6/mmm,"{'a': 4.56737542, 'b': 4.56737424113343, 'c': 2.82624427, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999363769648}","[{'element': 'Ti', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.333333, 0.666667, 0.5]}, {'element': 'Ti', 'position': [0.666667, 0.333333, 0.5]}]",2.5999889373779297,False,0.0
Zinc,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'Zn', 'full': 'Zn'}",P63/mmc,"{'a': 2.665, 'b': 2.665, 'c': 4.947, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Zn', 'position': [0.6666666667, 0.3333333333, 0.25]}]",Zn,P6_3/mmc,"{'a': 2.61436012, 'b': 2.614359482682322, 'c': 4.87316102, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99998275785532}","[{'element': 'Zn', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'Zn', 'position': [0.666667, 0.333333, 0.75]}]",2.550600528717041,False,0.0
Silicon carbide,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'SiC', 'full': 'SiC'}",F-43m; P6_3mc,"{'a': None, 'b': None, 'c': None, 'alpha': None, 'beta': None, 'gamma': None}","[{'element': 'Si', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.25, 0.25, 0.25]}]",SiC,R3m,"{'a': 3.0767812902988743, 'b': 3.0767812902988743, 'c': 47.840220615981856, 'alpha': 88.15725280976095, 'beta': 88.15725280976095, 'gamma': 59.99983979764553}","[{'element': 'Si', 'position': [1.0980000000000002e-05, 1.0980000000000002e-05, -1.2e-07]}, {'element': 'Si', 'position': [0.929817599999999, 0.929817599999999, 0.2105308]}, {'element': 'Si', 'position': [0.89472145, 0.89472145, 0.31580303]}, {'element': 'Si', 'position': [0.82457891, 0.82457891, 0.52625294]}, {'element': 'Si', 'position': [0.7894646200000001, 0.7894646200000001, 0.6315497]}, {'element': 'Si', 'position': [0.71930885, 0.71930885, 0.84203646]}, {'element': 'Si', 'position': [0.6841903300000001, 0.6841903300000001, 0.94740885]}, {'element': 'Si', 'position': [0.63159899, 0.63159899, 0.10525658]}, {'element': 'Si', 'position': [0.57892137, 0.57892137, 0.2631812]}, {'element': 'Si', 'position': [0.52633948, 0.52633948, 0.42104139]}, {'element': 'Si', 'position': [0.47367382, 0.47367382, 0.57889398]}, {'element': 'Si', 'position': [0.42107204000000004, 0.42107204000000004, 0.7368208900000001]}, {'element': 'Si', 'position': [0.36841942, 0.36841942, 0.89472457]}, {'element': 'Si', 'position': [0.31581059, 0.31581059, 0.05257709]}, {'element': 'Si', 'position': [0.28069088000000003, 0.28069088000000003, 0.15794137]}, {'element': 'Si', 'position': [0.21057031, 0.21057031, 0.368365]}, {'element': 'Si', 'position': [0.17543814, 0.17543814, 0.473696699999999]}, {'element': 'Si', 'position': [0.10528643, 0.10528643, 0.68414504]}, {'element': 'Si', 'position': [0.07017624, 0.07017624, 0.7894654]}, {'element': 'C', 'position': [0.98683913, 0.98683913, 0.03948027]}, {'element': 'C', 'position': [0.91666527, 0.91666527, 0.24998902]}, {'element': 'C', 'position': [0.88158976, 0.88158976, 0.35525918]}, {'element': 'C', 'position': [0.81143175, 0.81143175, 0.56569994]}, {'element': 'C', 'position': [0.77633372, 0.77633372, 0.67103008]}, {'element': 'C', 'position': [0.70617337, 0.70617337, 0.88150899]}, {'element': 'C', 'position': [0.6710455200000001, 0.6710455200000001, 0.98688863]}, {'element': 'C', 'position': [0.61837615, 0.61837615, 0.14486238]}, {'element': 'C', 'position': [0.56574827, 0.56574827, 0.30274656]}, {'element': 'C', 'position': [0.51312463, 0.51312463, 0.46062954]}, {'element': 'C', 'position': [0.46050866, 0.46050866, 0.618476399999999]}, {'element': 'C', 'position': [0.40786489000000004, 0.40786489000000004, 0.77640286]}, {'element': 'C', 'position': [0.3552219, 0.3552219, 0.9343297700000001]}, {'element': 'C', 'position': [0.30265887, 0.30265887, 0.09204795]}, {'element': 'C', 'position': [0.26752021, 0.26752021, 0.19742432000000001]}, {'element': 'C', 'position': [0.19738772000000002, 0.19738772000000002, 0.40783153]}, {'element': 'C', 'position': [0.16228249, 0.16228249, 0.5131578800000001]}, {'element': 'C', 'position': [0.09212975, 0.09212975, 0.7236176]}, {'element': 'C', 'position': [0.05700849, 0.05700849, 0.82892825]}]",2.7589690685272217,False,0.0
Gallium arsenide,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'GaAs', 'full': 'GaAs'}",F-43m,"{'a': 5.653, 'b': 5.653, 'c': 5.653, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ga', 'position': [0.0, 0.0, 0.0]}, {'element': 'As', 'position': [0.25, 0.25, 0.25]}]",GaAs,F-43m,"{'a': 4.065993051152201, 'b': 4.065992915533793, 'c': 4.065993, 'alpha': 59.99999117709851, 'beta': 59.99999228045072, 'gamma': 59.99999375028118}","[{'element': 'Ga', 'position': [0.0, 0.0, 0.0]}, {'element': 'As', 'position': [0.25, 0.25, 0.25]}]",2.3953545093536377,False,0.0
Indium phosphide,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'InP', 'full': 'InP'}",F-43m,"{'a': 5.869, 'b': 5.869, 'c': 5.869, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'In', 'position': [0.0, 0.0, 0.0]}, {'element': 'P', 'position': [0.25, 0.25, 0.25]}]",InP,F-43m,"{'a': 4.174725103299528, 'b': 4.174724893174411, 'c': 4.17472507, 'alpha': 59.99999851962922, 'beta': 60.00000018462105, 'gamma': 60.00000303290362}","[{'element': 'In', 'position': [0.0, 0.0, 0.0]}, {'element': 'P', 'position': [0.25, 0.25, 0.25]}]",3.025527000427246,False,0.0
Zinc selenide,openai,gpt-5.4-mini,False,llm returned chemical formula as dict instead of string,"{'reduced': 'ZnSe', 'full': 'ZnSe'}",F-43m,"{'a': 5.667, 'b': 5.667, 'c': 5.667, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Se', 'position': [0.25, 0.25, 0.25]}]",ZnSe,F-43m,"{'a': 4.005679011332485, 'b': 4.005678358128986, 'c': 4.00567877, 'alpha': 59.99999651610043, 'beta': 60.000001910391944, 'gamma': 59.99999587930295}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Se', 'position': [0.25, 0.25, 0.25]}]",3.731437206268311,False,0.0
Cadmium telluride,openai,gpt-5.4-mini,True,,CdTe,F-43m,"{'a': 6.48, 'b': 6.48, 'c': 6.48, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Cd', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.25, 0.25, 0.25]}]",CdTe,F-43m,"{'a': 4.641608438605873, 'b': 4.641609170455944, 'c': 4.64161015, 'alpha': 60.00000778643148, 'beta': 60.00000253660983, 'gamma': 60.00001117898337}","[{'element': 'Cd', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.25, 0.25, 0.25]}]",2.9563651084899902,False,1.0
